decision_id,cohort_id,subject_candidacy_id,proposed_occurrence_key,observed_ballot_name,election_date,jurisdiction,office,district,decision,ingestion_action,identity_bridge,result_source_authority,result_source_resource,result_source_locator,rationale
mcd_6b43f78e97a059f385e7b869020cdff3,toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,2022:toronto_city_clerk:mayor:phillip-dcruze,Phillip D'Cruze,2022-10-24,"Toronto, Ontario",mayor,City of Toronto,reject,none,,Toronto City Clerk,2022 municipal election official results,data/interim/results/2022/2022_Toronto_Poll_By_Poll_Mayor.xlsx,Different given name and apostrophized surname; no identity bridge to Alex Cruze.
mcd_d4b2cfc8df92560eaa4478eff700dcf7,toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,2023:toronto_city_clerk:mayor:phillip-dcruze,Phillip D'Cruze,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,reject,none,,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Different given name and apostrophized surname; no identity bridge to Alex Cruze.
mcd_b4fe6b4bf06f5ac18c387702f24720f9,toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,2021:cochrane:councillor:brandon-michael-cruze,Brandon Michael Cruze,2021-10-18,"Cochrane, Alberta",councillor,At large,reject,none,,Town of Cochrane,2021 municipal election official results,https://www.cochrane.ca/node/2209,Different full name and geography; no identity bridge to Alex Cruze.
mcd_2f61977c3ee25ca38ed6841c74b4e5b6,toronto-mayor-2026,can_eb3a632108425f9caa031590ec36385e,2018:toronto_city_clerk:councillor:morley-rosenberg,Morley Rosenberg,2018-10-22,"Toronto, Ontario",councillor,Ward 19 Beaches-East York,reject,none,,Toronto City Clerk,2018 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,Different full name and biography; no identity bridge to Amy Rosen.
mcd_c326d95c6dd250a5a12b1bbb613eef0f,toronto-mayor-2026,can_eb3a632108425f9caa031590ec36385e,2021:elections_canada:mp:amanda-rosenstock,Amanda Rosenstock,2021-09-20,"Canada, Ontario",mp,Spadina-Fort York,reject,none,,Elections Canada,44th general election official voting results,https://www.elections.ca/res/rep/off/ovr2021app/53/data_donnees/pollresults_resultatsbureau35.zip,Different full name and no identity bridge to Amy Rosen.
mcd_1fd61d6c52315ca9895a94c94515195f,toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,2023:toronto_city_clerk:mayor:city,Bahira Abdulsalam,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,"Candidate-controlled account explicitly identifies her 2023 Toronto mayoral run, votes, and placement.",Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Official result and explicit candidate-controlled continuity agree.
mcd_bdb1eae3a4e25fbfba830204549472fd,toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,2025:elections_ontario:mpp:022,BAHIRA ABDULSALAM,2025-02-27,"Ontario, Canada",mpp,Don Valley West,confirm,reuse_existing,"Candidate-submitted VoteMate profile links bahira.ca and identifies the same engineer, Toronto advocate, and former mayoral candidate.",Elections Ontario,2025 official tabulation for Don Valley West,https://www.elections.on.ca/content/dam/NGW/sitecontent/2025/results/Vote%20Totals%20From%20Official%20Tabulation%20-%20Don%20Valley%20West%20022.pdf,Primary review resolves Terra's omission with official result facts and candidate-submitted continuity evidence.
mcd_cb99567c4d795cba8b95f5a9b2410c26,toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,2025:elections_canada:mp:35024,Bahira Abdulsalam,2025-04-28,"Canada, Ontario",mp,Don Valley West,confirm,reuse_existing,Candidate-controlled campaign pages use the same name site contact and Don Valley West identity.,Elections Canada,45th general election official results,https://www.elections.ca/scripts/vis/PastResults?ED=35024&EV=99&EV_TYPE=&L=e&MAPID=&PAGEID=28&PC=&PD=&PROV=&PROVID=&QID=11&STAT_CODE_ID=-1&TPAGEID=,Official result and candidate-controlled site continuity agree.
mcd_2972ea7101635dd994f0ba9d05727731,toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,2018:toronto_city_clerk:councillor:ward-19,Brad Bradford,2018-10-22,"Toronto, Ontario",councillor,Ward 19 Beaches-East York,confirm,reuse_existing,City councillor history and current Ward 19 biography establish continuous institutional identity.,Toronto City Clerk,2018 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf,Two independent reports agree on exact result facts and institutional continuity.
mcd_5ecfd3dafc5d5087b3fb65afbcf75672,toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,2022:toronto_city_clerk:councillor:ward-19,Brad Bradford,2022-10-24,"Toronto, Ontario",councillor,Ward 19 Beaches-East York,confirm,reuse_existing,City councillor history and current Ward 19 biography establish continuous institutional identity.,Toronto City Clerk,2022 municipal election official declaration,https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf,Two independent reports agree on exact result facts and institutional continuity.
mcd_58384b2e84ef586a8680ed16cd7be33c,toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,2023:toronto_city_clerk:mayor:city,Brad Bradford,2023-06-26,"Toronto, Ontario",mayor,City of Toronto,confirm,reuse_existing,City institutional records identify the sitting Ward 19 councillor as the mayoral candidate.,Toronto City Clerk,2023 mayoral by-election declaration,https://www.toronto.ca/wp-content/uploads/2023/06/8eef-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor-Final.pdf,Two independent reports agree on exact result facts and institutional continuity.
