cohort_id,subject_candidacy_id,decision_id,canonical_candidacy_id
toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,mcd_1fd61d6c52315ca9895a94c94515195f,can_d691798621c35e6792b3c5f3b51adddf
toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,mcd_bdb1eae3a4e25fbfba830204549472fd,can_0f102ca366415f77acb58b66ac0c55c7
toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,mcd_cb99567c4d795cba8b95f5a9b2410c26,can_9931e62ad924562ba58e1b4172cc0b5b
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,mcd_2972ea7101635dd994f0ba9d05727731,can_aeb469c9e30b5f37a4f25f6a757d2ca4
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,mcd_5ecfd3dafc5d5087b3fb65afbcf75672,can_8a8622ea6deb5fc893af017dd09e6cb6
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,mcd_58384b2e84ef586a8680ed16cd7be33c,can_e2537c90636857a282bf0de3b3401f7e
toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,mcd_5960d2cd08a653bfa582e68950cb91a7,can_a0a5297861b3543fab827214d45b59ec
toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,mcd_95f52ab886155f6c9b818d8f44b789cc,can_384b1c30cab156c8b03f1b8114f0d67a
toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,mcd_dac7a4540bb75fa7bc704f4251d5a307,can_8cefa8625c10554296862649a024b60a
toronto-mayor-2026,can_78d2d90590f25246a4c4059b5f3a5736,mcd_aff01e946a88556e94d9aef92f3e42eb,can_9cb9c1e503805547887ec2ac04aee36c
toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,mcd_02486c27359a5504ac3f6d7d8a77573a,can_0c4d2f02396353048ccf398e170ccb59
toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,mcd_e8fb42d2fdc551f1abfa151077ab4c51,can_69f3b5c5b1f85d6db7db3003822c06a7
toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,mcd_c32bd8af722e5fe4983ac02eb8487bb8,can_4a3cd295a33558cfbda245cccf997f68
toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,mcd_cc9f21949b5150bd912847ae81f0dd2c,can_1fbe381430db555b8044161d0a87334d
toronto-mayor-2026,can_e6b3391412bb5303a15fa841aa0fd248,mcd_fc7a64a2041656619b200d52a3afaa67,can_3a472f55ed855197a5f3a713feb1d248
