cohort_id,subject_candidacy_id,certified_name,resulting_person_id,luna_report_path,terra_report_path,review_date,source_release,review_status,limitations,confirmed_count,held_count,split_count,rejected_count,primary_rationale
toronto-mayor-2026,can_bd7a432d37f95590b5e5985444edefa1,Alex Cruze,per_1b9b9e8787a65865bd53e6d237925fa2,docs/research/mayoral-career/2026/can_bd7a432d37f95590b5e5985444edefa1-luna.md,docs/research/mayoral-career/2026/can_bd7a432d37f95590b5e5985444edefa1-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No independent biographical anchor beyond the certified 2026 ballot.,0,0,0,3,"Both independent searches found no bridgeable prior occurrence; three name-collision leads have different full names and no identity bridge."
toronto-mayor-2026,can_c046dcbb9b5e5acea6b996edbc473dc2,Alton Frederick,per_3a31776c012253df85dd35d7e0aef86e,docs/research/mayoral-career/2026/can_c046dcbb9b5e5acea6b996edbc473dc2-luna.md,docs/research/mayoral-career/2026/can_c046dcbb9b5e5acea6b996edbc473dc2-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No independent biographical anchor beyond the certified 2026 ballot.,0,0,0,0,Both independent searches found no attributable prior public-election occurrence; the missing identity anchor materially limits completeness.
toronto-mayor-2026,can_eb3a632108425f9caa031590ec36385e,Amy Rosen,per_2d8d7f89c2c15234878f7423b5e0bd51,docs/research/mayoral-career/2026/can_eb3a632108425f9caa031590ec36385e-luna.md,docs/research/mayoral-career/2026/can_eb3a632108425f9caa031590ec36385e-terra.md,2026-08-26,results-2026-08-26.1,no_verified_prior_candidacy,,0,0,0,2,Independent searches used strong current biographical anchors and found no prior Canadian public-election occurrence meeting the evidence standard.
toronto-mayor-2026,can_2e019fda2c64561e8b92b2c905a2585e,Bahira Abdulsalam,per_46779385ba305d05b1ac1b31a7e7f8a4,docs/research/mayoral-career/2026/can_2e019fda2c64561e8b92b2c905a2585e-luna.md,docs/research/mayoral-career/2026/can_2e019fda2c64561e8b92b2c905a2585e-terra.md,2026-08-26,results-2026-08-26.1,reviewed,,3,0,0,0,"Primary review confirmed Toronto mayor 2023, Ontario MPP 2025, and Canada MP 2025 using official results and candidate-controlled continuity evidence."
toronto-mayor-2026,can_b71a736235545b8f8df2a3e196126428,Brad Bradford,per_d8dfddfb642358e299f4b428292666bf,docs/research/mayoral-career/2026/can_b71a736235545b8f8df2a3e196126428-luna.md,docs/research/mayoral-career/2026/can_b71a736235545b8f8df2a3e196126428-terra.md,2026-08-26,results-2026-08-26.1,reviewed,,3,0,0,0,"Both independent reviews confirm the 2018 and 2022 Ward 19 elections and 2023 mayoral run through official results and City institutional continuity."
toronto-mayor-2026,can_5cfd62de1fc35b858be03962fb88f01a,Braeden Chow,per_84fc7c7d2a4f55a7a99126fbe8a7dfdf,docs/research/mayoral-career/2026/can_5cfd62de1fc35b858be03962fb88f01a-luna.md,docs/research/mayoral-career/2026/can_5cfd62de1fc35b858be03962fb88f01a-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No independent biographical anchor beyond the certified 2026 ballot.,0,0,0,3,Independent searches found no attributable prior occurrence; three nearby-name Toronto candidates are explicitly rejected as different people.
toronto-mayor-2026,can_097745cc355459f6b63ecd505094cd64,Brian Buffey,,docs/research/mayoral-career/2026/can_097745cc355459f6b63ecd505094cd64-luna.md,docs/research/mayoral-career/2026/can_097745cc355459f6b63ecd505094cd64-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No qualifying identity bridge connects the 2018 and 2023 Toronto mayoral results to the 2026 filer.,0,2,0,0,Official results establish two historical Brian Buffey candidacies but same name and office alone cannot link them to the current subject.
toronto-mayor-2026,can_b43d9b5795cf5aed9b587a956e49951b,Chris Alexander,per_345dd6a9ee645c0bb5a8ade615f91579,docs/research/mayoral-career/2026/can_b43d9b5795cf5aed9b587a956e49951b-luna.md,docs/research/mayoral-career/2026/can_b43d9b5795cf5aed9b587a956e49951b-terra.md,2026-08-26,results-2026-08-26.1,reviewed,,2,0,0,0,Independent reviews confirm the 2011 Ajax-Pickering win and 2015 Ajax loss through Elections Canada results and explicit parliamentary/campaign identity continuity.
toronto-mayor-2026,can_94360a20cd655445812073e2b15fd7cb,Cory Deville,per_6dbd346ddaba5349b1188f1bbd6e5478,docs/research/mayoral-career/2026/can_94360a20cd655445812073e2b15fd7cb-luna.md,docs/research/mayoral-career/2026/can_94360a20cd655445812073e2b15fd7cb-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,Elections Canada's 2024 federal occurrence identifies a London resident and academic; no explicit bridge resolves it with the Toronto business profile.,3,1,0,0,"The 2022 and 2023 Toronto mayoral runs and 2025 Ontario run are confirmed; the 2024 federal occurrence remains held."
toronto-mayor-2026,can_78d2d90590f25246a4c4059b5f3a5736,Darrell Brown,per_c9c0901bc0155b70a0b03ffa5c01a2ac,docs/research/mayoral-career/2026/can_78d2d90590f25246a4c4059b5f3a5736-luna.md,docs/research/mayoral-career/2026/can_78d2d90590f25246a4c4059b5f3a5736-terra.md,2026-08-26,results-2026-08-26.1,reviewed,,1,0,0,0,The 2025 Ward 25 result is confirmed by official campaign-site and telephone continuity into the 2026 campaign.
toronto-mayor-2026,can_8560c3a40a9e572aa2d5c00c09933b85,Eddie Mayanja,per_ef81e3a7e765571d81251c1904f93a18,docs/research/mayoral-career/2026/can_8560c3a40a9e572aa2d5c00c09933b85-luna.md,docs/research/mayoral-career/2026/can_8560c3a40a9e572aa2d5c00c09933b85-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No candidate-controlled biography or independent identifier connects public professional records to the certified 2026 filer.,0,0,0,0,Independent searches found no prior Canadian public-election occurrence; non-electoral union roles are excluded.
toronto-mayor-2026,can_52f3f65dbd5a5867b98898a8500161d5,Edward Gong,per_424fd6af33ed5e0bae4177a42cde6c21,docs/research/mayoral-career/2026/can_52f3f65dbd5a5867b98898a8500161d5-luna.md,docs/research/mayoral-career/2026/can_52f3f65dbd5a5867b98898a8500161d5-terra.md,2026-08-26,results-2026-08-26.1,reviewed,,3,0,0,0,"The Tribunal's explicit Xiao Hua (Edward) Gong formulation and campaign chronology bridge Toronto 2023, Mississauga 2024, federal 2025, and the 2026 ballot."
toronto-mayor-2026,can_c4c8d5930213597eafa645ae61af7e4e,Faisal Razi,per_ec5f622a33165dd5b165983d27fc0023,docs/research/mayoral-career/2026/can_c4c8d5930213597eafa645ae61af7e4e-luna.md,docs/research/mayoral-career/2026/can_c4c8d5930213597eafa645ae61af7e4e-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No independent biographical anchor beyond the certified 2026 ballot.,0,0,0,0,Independent searches found no prior Canadian public-election occurrence attributable to the current filer.
toronto-mayor-2026,can_362007245309529aae22fb4337f1262e,Faizan Haider,per_9f8b0af56ed95379ac598bccf437dd89,docs/research/mayoral-career/2026/can_362007245309529aae22fb4337f1262e-luna.md,docs/research/mayoral-career/2026/can_362007245309529aae22fb4337f1262e-terra.md,2026-08-26,results-2026-08-26.1,no_verified_prior_candidacy,,0,0,0,0,Candidate-controlled current identity anchors support the documented search; no prior Canadian public-election occurrence met the standard.
toronto-mayor-2026,can_9f90d447ddbe5c97bbdac9c3096089fb,Francis Mercieca,per_99ee11f9eaf95b5b8154b23de4970dc2,docs/research/mayoral-career/2026/can_9f90d447ddbe5c97bbdac9c3096089fb-luna.md,docs/research/mayoral-career/2026/can_9f90d447ddbe5c97bbdac9c3096089fb-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No independent biographical anchor beyond the certified 2026 ballot.,0,0,0,0,Independent searches found no prior Canadian public-election occurrence attributable to the current filer.
toronto-mayor-2026,can_f49e85b1a9455d14828c28d4887d9385,Georgios Kalkounis,per_3c0c7b3ad7b154e5911d580ac13921c5,docs/research/mayoral-career/2026/can_f49e85b1a9455d14828c28d4887d9385-luna.md,docs/research/mayoral-career/2026/can_f49e85b1a9455d14828c28d4887d9385-terra.md,2026-08-26,results-2026-08-26.1,no_verified_prior_candidacy,,0,0,0,0,Candidate-controlled current identity anchors support the documented search; no prior Canadian public-election occurrence met the standard.
toronto-mayor-2026,can_8a1f2fdbcf8a596f87ed81adafa3eeca,Gus Prokos,,docs/research/mayoral-career/2026/can_8a1f2fdbcf8a596f87ed81adafa3eeca-luna.md,docs/research/mayoral-career/2026/can_8a1f2fdbcf8a596f87ed81adafa3eeca-terra.md,2026-08-26,results-2026-08-26.1,reviewed_with_limitations,No qualifying identity bridge connects the 2025 Scarborough Centre provincial candidate to the 2026 filer.,0,1,0,0,The Elections Ontario result is exact but shared name and geography alone do not establish identity.
