curation_key,endorser_key,expected_contest_id,expected_candidacy_id,election_date,office_type,official_district_id,expected_candidate_name,asserted_candidate_name,review_state,endorsement_kind,announcement_date,date_precision,source_type,source_url,secondary_source_url
star_2003_mayor_miller,toronto_star_editorial_board,con_945161409a0450f29e351ff3f263f815,can_63e1ea224f9a5132ae24d181a6bd7ca2,2003-11-10,mayor,city,David Miller,David Miller,confirmed,editorial_choice,2003-11-06,day,recovered_editorial_reproduction,https://urbantoronto.ca/forum/threads/2003-municipal-election-editorial-david-miller-best-to-lead-toronto.399/,
star_2010_mayor_smitherman,toronto_star_editorial_board,con_099fbf24dd655a0e8b1720fbe2215a6a,can_3d13fbd9fab452a5b347fb048574b6c4,2010-10-25,mayor,city,George Smitherman,George Smitherman,confirmed,editorial_choice,2010-10-18,day,reputable_contemporaneous_attribution,https://torontolife.com/city/torontos-weekend-of-entirely-unsurprising-mayoral-endorsements/,
star_2010_w01_hall,toronto_star_editorial_board,con_f0cf1eca40845631b0bd4d4750413711,can_53b411acfe775f8cb3a5075bfcd5d14a,2010-10-25,councillor,ward-1,Suzan Hall,Suzan Hall,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w02_ali,toronto_star_editorial_board,con_834d568760e15dcdb0b423512c33fe9c,can_45b15eac7fae5421af50a0a12e1b27df,2010-10-25,councillor,ward-2,Cadigia Ali,Cadigia Ali,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w03_holyday,toronto_star_editorial_board,con_8283f00fca6855af9a0a63e550482bda,can_529380293f3b58fba0c0897c393bbc06,2010-10-25,councillor,ward-3,Doug Holyday,Doug Holyday,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w04_campbell,toronto_star_editorial_board,con_be2d96cb623553cdbd79b303f9576bda,can_1fd2c30b34d15e9d944754561a4a9fb2,2010-10-25,councillor,ward-4,John Campbell,John Campbell,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w05_milczyn,toronto_star_editorial_board,con_a46853faf8a85598b55614ee5bfc99e2,can_e0998ace6afe5dbaafc18a2b31c0b812,2010-10-25,councillor,ward-5,Peter Milczyn,Peter Milczyn,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w06_grimes,toronto_star_editorial_board,con_e14c9528646b58ba89bddde54ae0f23e,can_da959df9c1b85625a1c9dff24bc2446f,2010-10-25,councillor,ward-6,Mark Grimes,Mark Grimes,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w07_perlman,toronto_star_editorial_board,con_7bbdc7e302705fee987b1ebca87ef16d,can_5ec80b2bd0ae52ef817f16eb7be56d5b,2010-10-25,councillor,ward-7,Larry Perlman,Larry Perlman,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
star_2010_w08_perruzza,toronto_star_editorial_board,con_0a880ce7b6ad5bdaa2e2dc7b19601aa8,can_b1cd41623edb56878391b977e6ba439d,2010-10-25,councillor,ward-8,Anthony Perruzza,Anthony Perruzza,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26
