assertion_id,endorsement_id,endorser_id,contest_id,candidacy_id,review_state,endorsement_kind,announcement_date,date_precision,source_type,source_url,secondary_source_url,asserted_candidate_name,curation_key
ast_0190fe729c89580a887c5f4ceceb64ec,end_4136f23c00ae5bb4bb375a318d73345b,edr_7130092faf1a5c159a3507bbd8db42ee,con_5c4da484552c546aaff98277d675d594,can_b0071b72639b5d12bf5753a507e8d11d,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26,Sarah Doucette,star_2010_w13_doucette
ast_04d3526e68fb57df989370a0ec881490,end_28a57d10699352a7bb8bde7636cbed98,edr_69f1317690e6571bb2b2e9a7e9690ab8,con_9e0a04dcf1245155b6f1fd50c6a83e99,can_0c187005e2eb558c9e79766553461816,confirmed,endorsement,2022-10-06,day,first_party_slate,https://wemovetoronto.ca/atu-local-113-endorses-candidates-for-the-2022-ontario-municipal-election/,https://wemovetoronto.ca/wp-content/uploads/2022/10/ATU_MunicipalElection2022_Poster-scaled-1.jpg,Kevin Rupasinghe,atu_2022_w20_rupasinghe
ast_06be5c68440e5e57b540554d5c24c5f9,end_6c95390ccbda565d98c6c3a44b1eb23b,edr_b354a54e105b5740832e28b07732b4c3,con_f961284da53f5a38ba3a20e7e998ef4f,can_b6b790f30421564ca2e9c8263737a42e,confirmed,editorial_choice,2018-10-21,day,publisher_editorial,https://torontosun.com/news/local-news/toronto-sun-endorsements-for-city-council,,Evan Tummillo,sun_2018_w04_tummillo
ast_08f7133898985e50a4b3025ecba188d6,end_3c37c11139d3580c8e043f7de41dadf3,edr_bdd4b13ef74d501780c8fcadd091591e,con_db6acf978ec15e2c9ac0230649ef0609,can_933ed8a454ba5127a1f53e6f4b508546,confirmed,endorsement,2022-10-21,day,reputable_contemporaneous_slate_attribution,https://spacing.ca/toronto/2022/10/21/election-map-duelling-campaign-endorsements/,,Nick Mantas,tory_2022_w22_mantas
ast_09a4176e0fdd59368163d994fc837a41,end_00c1b3c01b5055adb76158abbb8ab610,edr_69f1317690e6571bb2b2e9a7e9690ab8,con_52f50431db92559f8d4391fb2e932f16,can_6c6ffe1b743357a5b7e74c8e511ea2d9,confirmed,endorsement,2022-10-06,day,first_party_slate,https://wemovetoronto.ca/atu-local-113-endorses-candidates-for-the-2022-ontario-municipal-election/,https://wemovetoronto.ca/wp-content/uploads/2022/10/ATU_MunicipalElection2022_Poster-scaled-1.jpg,Chiara Padovani,atu_2022_w05_padovani
ast_0a866b5902f8512e9fc0143ecc33b55d,end_853fa563394a5f17ae699a4e92599c52,edr_7130092faf1a5c159a3507bbd8db42ee,con_579cae8a3fa455a7a3e68d1b1900fffa,can_e4d5de017a4c5861a2f577ede413c236,confirmed,editorial_choice,2010-10-18,day,publisher_editorial_with_retrieval_copy,https://www.thestar.com/article/876714--star-election-choices-for-city-council,https://skyrisecities.com/forum/threads/2014-municipal-election-toronto-council-races.20318/page-26,Josh Colle,star_2010_w15_colle
ast_0bb1000202ec5acbab0378587306c60c,end_c750a8e87fa7558f8405864bd9a490a5,edr_69f1317690e6571bb2b2e9a7e9690ab8,con_ac347f98e5715159b3adecf8debcbde8,can_467ce1971c8b595a88cebb67edda463a,confirmed,endorsement,2018-10-01,month,first_party_slate,https://wemovetoronto.ca/wp-content/uploads/2018/10/ATU-Local-113_Endorsed-Candidates.pdf,,Lekan Olawoye,atu_2018_w05_olawoye
ast_0d82249b09e2595ba5976407de2ba291,end_cda291b20b5554b1a1a0260b3883a5ae,edr_7130092faf1a5c159a3507bbd8db42ee,con_b93d69f083ed511ab264f38cc1d8b94c,can_fa7dd6aa57a55b69828e69186f5a67cf,confirmed,editorial_choice,2018-10-18,day,first_party_editorial,https://www.thestar.com/opinion/editorials/2018/10/18/john-tory-is-the-best-choice-for-toronto-now.html,,John Tory,star_2018_mayor_tory
ast_0daa54da6e91599d9c070bedeeaedd87,end_28bb3062935c5d5eb3e65d912a559024,edr_69f1317690e6571bb2b2e9a7e9690ab8,con_f961284da53f5a38ba3a20e7e998ef4f,can_f016d26c42dc5073b6e91d974223d0a7,confirmed,endorsement,2018-10-01,month,first_party_slate,https://wemovetoronto.ca/wp-content/uploads/2018/10/ATU-Local-113_Endorsed-Candidates.pdf,,Gord Perks,atu_2018_w04_perks
ast_0f6ea27b1afc5cc88c43eecf209fc607,end_c181a2e7e4f6502a8ff955c0cd8fe08b,edr_7130092faf1a5c159a3507bbd8db42ee,con_f8a855ebf8c250bda4eeed75246305b5,can_3c3d60402ebe53679b24342c577cb4f6,confirmed,editorial_choice,2022-10-20,day,publisher_editorial_with_archived_copy,https://www.thestar.com/opinion/editorials/2022/10/20/the-stars-endorsements-for-toronto-council-in-wards-9-to-16.html,https://toronto.cityhallwatcher.com/p/chw194,Jaye Robinson,star_2022_w15_robinson
